Amostra;γ̇w (s⁻¹);τw (Pa);η (Pa·s);STD_τw (Pa);STD_γ̇w (s⁻¹);γ̇aw (s⁻¹);ηa (Pa·s);P_ext(bar);M_ext(g);Q_calc(mm³/s);t_ext(s);Ponto;D_cap(mm);L_cap(mm);rho(g/cm³)
Capilar 1.5x43;132,775;116,234;0,8754;0;0;108,32;1,0731;0,4506;1,77;35,8907;30,2554;1;1.500;43.00;1,63
Capilar 1.5x43;136,857;112,73;0,8237;0;0;111,65;1,0097;0,437;1,82;36,9941;30,1822;2;1.500;43.00;1,63
Capilar 1.5x43;139,869;112,304;0,8029;0;0;114,108;0,9842;0,4353;1,87;37,8083;30,3435;3;1.500;43.00;1,63
Capilar 1.5x43;157,767;120,179;0,7618;0;0;128,709;0,9337;0,4659;2,11;42,6463;30,3538;4;1.500;43.00;1,63
Capilar 1.5x43;169,658;123,245;0,7264;0;0;138,41;0,8904;0,4778;2,27;45,8606;30,3668;5;1.500;43.00;1,63
Capilar 1.5x43;226,272;149,985;0,6629;0;0;184,596;0,8125;0,5814;3,02;61,1642;30,2916;6;1.500;43.00;1,63
Capilar 1.5x43;227,303;154,845;0,6812;0;0;185,438;0,835;0,6003;3,02;61,4429;30,1542;7;1.500;43.00;1,63
Capilar 1.5x43;228,414;151,756;0,6644;0;0;186,344;0,8144;0,5883;3,05;61,7432;30,3056;8;1.500;43.00;1,63
Capilar 1.5x43;228,638;153,05;0,6694;0;0;186,527;0,8205;0,5933;3,03;61,8037;30,0774;9;1.500;43.00;1,63
Capilar 1.5x43;234,475;154,341;0,6582;0;0;191,288;0,8069;0,5983;3,13;63,3814;30,2967;10;1.500;43.00;1,63
Capilar 1.5x43;239,102;156,705;0,6554;0;0;195,064;0,8034;0,6075;3,18;64,6324;30,1849;11;1.500;43.00;1,63
Capilar 1.5x43;248,154;161,022;0,6489;0;0;202,448;0,7954;0,6242;3,3;67,0793;30,1813;12;1.500;43.00;1,63
Capilar 1.5x43;263,683;166,031;0,6297;0;0;215,117;0,7718;0,6436;3,53;71,2768;30,3836;13;1.500;43.00;1,63
Capilar 1.5x43;268,219;169,148;0,6306;0;0;218,818;0,773;0,6557;3,59;72,5031;30,3774;14;1.500;43.00;1,63
Capilar 1.5x43;281,218;171,3;0,6091;0;0;229,423;0,7467;0,664;3,74;76,0169;30,1838;15;1.500;43.00;1,63
Capilar 1.5x43;296,625;213,83;0,7209;0;0;241,992;0,8836;0,8289;2,64;80,1815;20,1996;16;1.500;43.00;1,63
Capilar 1.5x43;301,034;214,135;0,7113;0;0;245,589;0,8719;0,8301;2,68;81,3733;20,2053;17;1.500;43.00;1,63
