P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,20000;0,23935;81,14557;37,44882;2,17130;0,01089;3,68904;2,88686;0,08054
0,30000;0,30903;104,76133;67,40176;1,59967;0,03579;12,14013;15,61236;0,22906
0,40000;0,40880;138,60800;59,43810;2,33200;;;;
0,50000;0,52992;179,65675;94,37505;1,90781;0,01049;3,55468;5,33408;0,08722
0,60000;0,58248;197,46898;118,38956;1,67878;0,03676;12,45516;15,60581;0,10634
0,70000;0,67263;228,03395;158,80133;1,43660;0,00915;3,10153;4,14699;0,03770
0,80000;0,81694;276,96062;472,02102;0,58722;0,01853;6,28827;17,95482;0,01871
1,00000;1,00480;340,65413;1508,36933;0,26133;0,03417;11,58731;586,23365;0,13773
1,10000;1,07117;363,15427;1175,81397;0,33747;0,01075;3,63213;455,11677;0,11131
1,20000;1,19186;404,06472;1356,07746;0,32690;0,02784;9,43670;453,22873;0,11017
1,30000;1,29317;438,41532;1301,98782;0,38058;0,04038;13,68737;549,02392;0,13038
1,40000;1,36845;463,93230;2464,37922;0,28442;0,01754;5,94601;1643,25588;0,19422
1,50000;1,48314;502,81832;3667,99110;0,15426;0,02165;7,34109;1341,88834;0,05306
1,60000;1,58415;537,06235;3770,04175;0,14245;0,03967;13,44132;45,42829;0,00191
1,90000;1,85770;629,80720;7801,40450;0,08070;;;;
