P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,40000;0,40880;479,11510;62,50780;7,66490;;;;
0,50000;0,52992;621,00508;99,24905;6,27077;0,01049;12,28720;5,60957;0,28664
0,60000;0,58248;682,57506;124,50382;5,51798;0,03676;43,05276;16,41173;0,34952
0,70000;0,67263;788,22660;167,00262;4,72192;0,00915;10,72080;4,36112;0,12393
1,20000;1,21395;1422,58405;986,38665;1,44255;0,02977;34,90286;36,06874;0,01732
1,30000;1,30262;1526,51540;1024,87215;1,50520;0,04710;55,18413;110,61362;0,19954
1,40000;1,36615;1600,95470;1097,87595;1,47645;0,01916;22,42787;180,20878;0,22196
1,50000;1,47999;1734,35431;2966,76143;0,61043;0,02197;25,75547;726,56314;0,12450
1,60000;1,58415;1856,42020;3964,74575;0,46820;0,03967;46,46144;47,77447;0,00608
1,90000;1,85770;2177,00390;8204,30850;0,26530;;;;
