P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,80000;0,81880;714,08088;334,21935;2,14407;0,01760;15,34033;20,24618;0,15460
0,90000;0,93860;818,55746;389,05769;2,10497;0,00586;5,12106;8,94352;0,05364
1,00000;1,01764;887,48624;481,29100;1,84759;0,01499;13,05809;24,88543;0,08370
1,20000;1,22765;1070,62495;666,75283;1,60787;0,01483;12,92069;29,90745;0,06572
1,30000;1,26660;1104,57315;695,70185;1,58805;0,01160;10,12004;17,70093;0,02581
1,40000;1,40450;1224,89640;1018,56020;1,20260;;;;
1,50000;1,51993;1325,50727;1027,91510;1,29340;0,02562;22,36316;64,40922;0,09405
1,60000;1,59965;1395,05903;1136,28423;1,22837;0,02530;22,04426;28,33335;0,03902
1,70000;1,72241;1502,10314;1667,29093;0,92579;0,02419;21,10519;287,46445;0,16831
1,80000;1,78268;1554,66448;1495,96690;1,05555;0,03702;32,27068;217,95011;0,15050
1,90000;1,90686;1662,96546;1839,03462;0,91150;0,02718;23,71303;183,29468;0,09209
2,00000;2,00555;1749,01072;2075,36107;0,84715;0,02453;21,38933;146,03098;0,07556
2,60000;2,57320;2244,05177;3266,27347;0,74960;0,00932;8,13007;1125,08603;0,27766
