P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,50000;0,54675;184,75095;383,90735;0,48125;0,00049;0,19014;3,38697;0,00474
0,60000;0,60264;203,63608;422,27935;0,48342;0,03210;10,85240;34,16050;0,01832
0,70000;0,67015;226,44365;502,73050;0,45045;0,02609;8,81458;20,33979;0,00064
1,00000;0,97962;331,01846;852,99690;0,38878;0,00843;2,84027;44,15156;0,01749
1,30000;1,30196;439,94544;1262,27156;0,34892;0,01564;5,29286;55,02023;0,01125
1,60000;1,59274;538,20232;1611,78116;0,33424;0,00672;2,26775;59,19639;0,01108
1,80000;1,83085;618,66260;1993,44995;0,31045;0,00191;0,66086;45,42461;0,00742
1,90000;1,86133;628,95503;2036,15647;0,30890;0,01069;3,61181;17,77356;0,00104
2,00000;2,03533;687,74427;2466,01363;0,27897;0,00867;2,92345;54,08960;0,00532
2,10000;2,05910;695,78865;2409,12185;0,28930;0,00226;0,74777;139,98487;0,01655
2,40000;2,37618;802,93016;3279,08698;0,24502;0,00824;2,79255;98,94754;0,00671
2,60000;2,57478;870,03370;3825,59850;0,22766;0,00646;2,18573;135,77359;0,00810
2,70000;2,74210;926,56030;4240,91330;0,21850;;;;
2,80000;2,79375;944,02875;4626,39270;0,20422;0,02037;6,87916;166,82394;0,00594
2,90000;2,91578;985,26206;5020,38432;0,19692;0,01061;3,59582;311,51063;0,01300
3,20000;3,20695;1083,65535;6172,16308;0,17665;0,01378;4,66410;531,23086;0,01695
