P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,40000;0,43615;380,38220;135,59835;2,80560;0,00120;1,01739;2,08745;0,05063
0,50000;0,46477;405,29397;150,33477;2,71780;0,01364;11,88131;18,44903;0,26854
0,60000;0,60461;527,27181;232,26980;2,27246;0,02037;17,76562;12,83128;0,05252
0,70000;0,71468;623,27995;301,56207;2,07210;0,04286;37,37142;27,35599;0,07714
0,80000;0,75260;656,34800;325,27070;2,01790;;;;
1,10000;1,07220;935,07452;577,60810;1,62118;0,01174;10,21105;28,62151;0,06217
1,30000;1,28832;1123,51512;715,68038;1,62242;0,00657;5,72043;130,40387;0,36307
1,70000;1,68953;1473,42510;1170,39853;1,26147;0,00663;5,80503;61,65280;0,07243
2,00000;2,02440;1765,48270;1936,15308;0,91206;0,02487;21,67882;38,00356;0,01595
2,20000;2,24430;1957,22560;2937,60570;0,66630;;;;
2,30000;2,27763;1986,30930;2897,48725;0,68558;0,02656;23,16182;32,46997;0,00675
