P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s);N_Repeticoes
0,50000;0,54675;169,30205;389,21040;0,43500;0,00049;0,17430;3,43371;0,00424;2
0,60000;0,60264;186,60803;428,11243;0,43695;0,03210;9,94492;34,63237;0,01655;11
0,70000;0,67015;207,50835;509,67490;0,40715;0,02609;8,07749;20,62079;0,00064;2
1,00000;0,97962;303,33864;864,77964;0,35142;0,00843;2,60275;44,76141;0,01579;5
1,10000;1,10684;342,73230;1008,36734;0,34034;0,00706;2,19090;44,94768;0,01253;5
1,30000;1,30196;403,15716;1279,70774;0,31540;0,01564;4,85031;55,78026;0,01018;5
1,40000;1,39744;432,72236;1461,23324;0,29626;0,01666;5,16371;39,70522;0,00541;5
1,60000;1,59274;493,19780;1634,04524;0,30210;0,00672;2,07813;60,01406;0,01004;5
1,80000;1,83085;566,93000;2020,98615;0,28060;0,00191;0,60557;46,05210;0,00665;2
1,90000;1,87799;581,51878;2387,49580;0,24589;0,01878;5,81506;247,19448;0,02530;9
2,00000;2,03533;630,23503;2500,07750;0,25217;0,00867;2,67899;54,83676;0,00476;3
2,10000;2,05910;637,60670;2442,39985;0,26145;0,00226;0,68519;141,91852;0,01492;2
2,30000;2,31563;717,03470;4333,19407;0,16570;0,02193;6,79387;209,88954;0,00656;3
2,40000;2,37520;735,48478;3820,59001;0,19798;0,01372;4,24595;717,38142;0,03345;8
2,60000;2,58583;800,70561;4237,33306;0,19274;0,02114;6,54533;619,64361;0,02842;12
2,70000;2,74210;849,08120;4299,49450;0,19750;;;;;1
2,80000;2,79375;865,08898;4690,29860;0,18455;0,02037;6,30394;169,12833;0,00535;4
2,90000;2,91578;902,87434;5089,73262;0,17800;0,01061;3,29516;315,81362;0,01174;5
3,20000;3,20695;993,03995;6257,42133;0,15970;0,01378;4,27406;538,56894;0,01531;4
