Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;1.500;43.00;1,6300;30,2554;0,4506;1,7700;35,8907;116,2341;108,3199;1,0731;132,7748;0,8754
2;1.500;43.00;1,6300;30,1822;0,4370;1,8200;36,9941;112,7299;111,6500;1,0097;136,8567;0,8237
3;1.500;43.00;1,6300;30,3435;0,4353;1,8700;37,8083;112,3042;114,1075;0,9842;139,8690;0,8029
4;1.500;43.00;1,6300;30,3538;0,4659;2,1100;42,6463;120,1790;128,7087;0,9337;157,7667;0,7618
5;1.500;43.00;1,6300;30,3668;0,4778;2,2700;45,8606;123,2448;138,4095;0,8904;169,6576;0,7264
6;1.500;43.00;1,6300;30,2916;0,5814;3,0200;61,1642;149,9849;184,5964;0,8125;226,2719;0,6629
7;1.500;43.00;1,6300;30,1542;0,6003;3,0200;61,4429;154,8451;185,4377;0,8350;227,3031;0,6812
8;1.500;43.00;1,6300;30,3056;0,5883;3,0500;61,7432;151,7565;186,3441;0,8144;228,4141;0,6644
9;1.500;43.00;1,6300;30,0774;0,5933;3,0300;61,8037;153,0504;186,5266;0,8205;228,6378;0,6694
10;1.500;43.00;1,6300;30,2967;0,5983;3,1300;63,3814;154,3412;191,2882;0,8069;234,4745;0,6582
11;1.500;43.00;1,6300;30,1849;0,6075;3,1800;64,6324;156,7046;195,0637;0,8034;239,1023;0,6554
12;1.500;43.00;1,6300;30,1813;0,6242;3,3000;67,0793;161,0220;202,4485;0,7954;248,1543;0,6489
13;1.500;43.00;1,6300;30,3836;0,6436;3,5300;71,2768;166,0313;215,1170;0,7718;263,6829;0,6297
14;1.500;43.00;1,6300;30,3774;0,6557;3,5900;72,5031;169,1477;218,8178;0,7730;268,2192;0,6306
15;1.500;43.00;1,6300;30,1838;0,6640;3,7400;76,0169;171,2999;229,4226;0,7467;281,2183;0,6091
16;1.500;43.00;1,6300;20,1996;0,8289;2,6400;80,1815;213,8296;241,9917;0,8836;296,6249;0,7209
17;1.500;43.00;1,6300;20,2053;0,8301;2,6800;81,3733;214,1351;245,5886;0,8719;301,0340;0,7113
18;1.500;43.00;1,6300;20,2621;0,8265;2,7400;82,9618;213,2180;250,3829;0,8516;306,9107;0,6947
19;1.500;43.00;1,6300;30,0762;0,7346;4,1500;84,6519;189,4944;255,4837;0,7417;313,1630;0,6051
20;1.500;43.00;1,6300;30,0802;0,7452;4,2300;86,2724;192,2337;260,3745;0,7383;319,1580;0,6023
21;1.500;43.00;1,6300;30,0820;0,7391;4,2500;86,6753;190,6688;261,5902;0,7289;320,6482;0,5946
22;1.500;43.00;1,6300;20,2788;0,8229;2,9100;88,0366;212,2894;265,6989;0,7990;325,6845;0,6518
23;1.500;43.00;1,6300;20,2146;0,7836;2,9200;88,6195;202,1508;267,4582;0,7558;327,8409;0,6166
24;1.500;43.00;1,6300;30,2928;0,7526;4,4300;89,7173;194,1478;270,7713;0,7170;331,9020;0,5850
25;1.500;43.00;1,6300;30,2960;0,7495;4,5900;92,9480;193,3527;280,5216;0,6893;343,8536;0,5623
26;1.500;43.00;1,6300;20,0933;0,8208;3,0700;93,7347;211,7278;282,8960;0,7484;346,7641;0,6106
27;1.500;43.00;1,6300;20,2070;0,9467;3,1500;95,6360;244,2249;288,6341;0,8461;353,7977;0,6903
28;1.500;43.00;1,6300;20,3189;0,9312;3,2700;98,7324;240,2153;297,9794;0,8061;365,2528;0,6577
29;1.500;43.00;1,6300;20,2115;0,9404;3,2800;99,5606;242,5834;300,4789;0,8073;368,3166;0,6586
30;1.500;43.00;1,6300;20,1976;0,9305;3,2900;99,9331;240,0403;301,6030;0,7959;369,6944;0,6493
31;1.500;43.00;1,6300;20,3705;0,9385;3,3600;101,1927;242,1059;305,4046;0,7927;374,3544;0,6467
32;1.500;43.00;1,6300;20,2214;0,9408;3,3500;101,6356;242,7062;306,7412;0,7912;375,9926;0,6455
33;1.500;43.00;1,6300;20,0311;0,9421;3,3500;102,6014;243,0289;309,6559;0,7848;379,5655;0,6403
34;1.500;43.00;1,6300;20,1578;1,0017;3,6900;112,3039;258,4067;338,9388;0,7624;415,4594;0,6220
35;1.500;43.00;1,6300;20,1942;1,0191;3,9700;120,6082;262,9000;364,0015;0,7222;446,1804;0,5892
36;1.500;43.00;1,6300;20,3344;1,0177;4,0500;122,1904;262,5321;368,7765;0,7119;452,0334;0,5808
37;1.500;43.00;1,6300;20,3301;1,0019;4,0700;122,8197;258,4655;370,6760;0,6973;454,3617;0,5689
38;1.500;43.00;1,6300;20,3769;1,0321;4,1800;125,8493;266,2466;379,8194;0,7010;465,5694;0,5719
39;1.500;43.00;1,6300;20,3202;1,0095;4,3000;129,8235;260,4175;391,8139;0,6646;480,2718;0,5422
40;1.500;43.00;1,6300;20,1580;1,0415;4,3200;131,4768;268,6606;396,8035;0,6771;486,3879;0,5524
41;1.500;43.00;1,6300;30,4107;1,2847;6,8000;137,1814;331,4020;414,0201;0,8004;507,4914;0,6530
42;1.500;43.00;1,6300;30,1883;1,0589;7,4100;150,5884;273,1663;454,4833;0,6010;557,0898;0,4903
43;1.500;43.00;1,6300;30,1841;1,0676;7,6900;156,3006;275,4154;471,7229;0,5838;578,2215;0,4763
44;1.500;43.00;1,6300;30,1895;1,0759;7,9300;161,1499;277,5571;486,3584;0,5707;596,1612;0,4656
45;1.500;43.00;1,6300;20,2264;1,2258;5,3500;162,2736;316,2020;489,7496;0,6456;600,3180;0,5267
46;1.500;43.00;1,6300;20,2532;1,2080;5,5700;168,7231;311,6327;509,2145;0,6120;624,1775;0,4993
47;1.500;43.00;1,6300;30,1976;1,0864;8,3300;169,2328;280,2414;510,7528;0,5487;626,0630;0,4476
48;1.500;43.00;1,6300;30,1816;1,1087;8,3900;170,5420;286,0038;514,7042;0,5557;630,9065;0,4533
49;1.500;43.00;1,6300;20,3902;1,2428;5,7600;173,3057;320,6073;523,0451;0,6130;641,1305;0,5001
50;1.500;43.00;1,6300;20,1792;1,2584;5,7700;175,4224;324,6160;529,4334;0,6131;648,9610;0,5002
51;1.500;43.00;1,6300;20,2222;1,2340;5,9500;180,5096;318,3215;544,7867;0,5843;667,7806;0,4767
52;1.500;43.00;1,6300;20,4443;1,2748;6,0600;181,8501;328,8495;548,8326;0,5992;672,7399;0,4888
53;1.500;43.00;1,6300;30,1843;1,2810;9,4200;191,4617;330,4570;577,8410;0,5719;708,2973;0,4666
54;1.500;43.00;1,6300;30,1899;1,2979;10,6200;215,8121;334,8014;651,3315;0,5140;798,3794;0,4194
55;1.500;43.00;1,6300;30,4009;1,2916;10,7600;217,1394;333,1843;655,3375;0,5084;803,2899;0,4148
56;1.500;43.00;1,6300;30,4009;1,2864;11,1700;225,4129;331,8340;680,3074;0,4878;833,8971;0,3979
57;1.500;43.00;1,6300;20,2224;1,5165;8,3000;251,8010;391,2012;759,9477;0,5148;931,5175;0,4200
58;1.500;43.00;1,6300;30,3016;1,7057;12,4900;252,8766;440,0090;763,1941;0,5765;935,4968;0,4703
59;1.500;43.00;1,6300;20,2241;1,5471;8,4800;257,2402;399,0976;776,3635;0,5141;951,6393;0,4194
60;1.500;43.00;1,6300;20,2203;1,4045;8,6200;261,5370;362,3244;789,3315;0,4590;967,5351;0,3745
61;1.500;43.00;1,6300;30,3044;1,6982;13,5300;273,9079;438,0858;826,6676;0,5299;1013,3004;0,4323
62;1.500;43.00;1,6300;20,3339;1,6153;9,3700;282,7043;416,6989;853,2154;0,4884;1045,8417;0,3984
63;1.500;43.00;1,6300;20,2202;1,4962;9,3200;282,7760;385,9564;853,4319;0,4522;1046,1072;0,3689
64;1.500;43.00;1,6300;20,2147;1,5669;9,5600;290,1372;404,2124;875,6485;0,4616;1073,3395;0,3766
65;1.500;43.00;1,6300;20,1022;1,6233;9,6400;294,2017;418,7467;887,9152;0,4716;1088,3755;0,3847
66;1.500;43.00;1,6300;20,3260;1,5931;9,9400;300,0173;410,9758;905,4671;0,4539;1109,8901;0,3703
67;1.500;43.00;1,6300;30,3623;1,6958;15,0100;303,2899;437,4685;915,3437;0,4779;1121,9965;0,3899
68;1.500;43.00;1,6300;20,4477;1,7276;10,6000;318,0341;445,6581;959,8425;0,4643;1176,5415;0,3788
69;1.500;43.00;1,6300;20,2737;1,7841;10,8300;327,7229;460,2442;989,0840;0,4653;1212,3848;0,3796
70;1.500;43.00;1,6300;30,3544;1,6826;16,3700;330,8560;434,0460;998,5399;0,4347;1223,9754;0,3546
71;1.500;43.00;1,6300;30,1496;1,6902;16,4300;334,3246;436,0029;1009,0080;0,4321;1236,8069;0,3525
72;1.500;43.00;1,6300;20,3028;1,7594;11,4000;344,4772;453,8609;1039,6493;0,4366;1274,3659;0,3561
73;1.500;43.00;1,6300;20,2481;1,7405;12,1600;368,4349;449,0006;1111,9548;0,4038;1362,9955;0,3294
74;1.500;43.00;1,6300;20,2481;1,7405;12,2000;369,6469;449,0006;1115,6125;0,4025;1367,4790;0,3283
75;1.500;43.00;1,6300;20,3039;1,7470;12,2500;370,1417;450,6662;1117,1059;0,4034;1369,3095;0,3291
76;1.500;43.00;1,6300;20,3311;1,8892;13,2300;399,2195;487,3487;1204,8640;0,4045;1476,8804;0,3300
77;1.500;43.00;1,6300;20,0970;1,6821;13,9200;424,9336;433,9112;1282,4704;0,3383;1572,0076;0,2760
78;1.500;43.00;1,6300;20,5027;1,8344;14,3100;428,1939;473,2045;1292,3103;0,3662;1584,0689;0,2987
79;1.500;43.00;1,6300;20,3284;1,7528;14,4500;436,0911;452,1694;1316,1445;0,3436;1613,2841;0,2803
80;1.500;43.00;1,6300;20,3281;1,7038;14,7200;444,2451;439,5194;1340,7536;0,3278;1643,4491;0,2674
81;1.500;43.00;1,6300;20,8199;1,6988;15,3300;451,7259;438,2339;1363,3309;0,3214;1671,1236;0,2622
82;1.500;43.00;1,6300;20,5160;2,0444;15,3300;458,4178;527,3829;1383,5275;0,3812;1695,8799;0,3110
83;1.500;43.00;1,6300;20,3295;1,9378;15,4300;465,6407;499,8845;1405,3265;0,3557;1722,6003;0,2902
84;1.500;43.00;1,6300;20,3899;1,8732;15,7300;473,2878;483,2165;1428,4061;0,3383;1750,8904;0,2760
85;1.500;43.00;1,6300;24,0874;1,9039;19,5200;497,1668;491,1461;1500,4738;0,3273;1839,2286;0,2670
86;1.500;43.00;1,6300;30,3052;1,9819;25,7200;520,6741;511,2718;1571,4200;0,3254;1926,1919;0,2654
87;1.500;43.00;1,6300;20,2913;1,7415;17,3200;523,6600;449,2346;1580,4318;0,2842;1937,2383;0,2319
88;1.500;43.00;1,6300;20,3357;1,7380;17,3600;523,7238;448,3528;1580,6244;0,2837;1937,4744;0,2314
89;1.500;43.00;1,6300;20,3627;1,9302;17,4500;525,7414;497,9302;1586,7134;0,3138;1944,9380;0,2560
90;1.500;43.00;1,6300;30,3019;2,0465;26,0000;526,4003;527,9251;1588,7019;0,3323;1947,3756;0,2711
91;1.500;43.00;1,6300;30,5146;2,0349;26,7400;537,6081;524,9261;1622,5277;0,3235;1988,8380;0,2639
92;1.500;43.00;1,6300;30,5159;2,0326;26,7800;538,3899;524,3519;1624,8874;0,3227;1991,7304;0,2633
93;1.500;43.00;1,6300;20,4969;1,9754;18,0100;539,0612;509,5858;1626,9133;0,3132;1994,2137;0,2555
94;1.500;43.00;1,6300;20,5007;2,0113;18,0800;541,0556;518,8399;1632,9324;0,3177;2001,5917;0,2592
95;1.500;43.00;1,6300;20,3277;2,0139;17,9800;542,6431;519,5101;1637,7237;0,3172;2007,4647;0,2588
96;1.500;43.00;1,6300;30,4107;2,0261;27,1200;547,1108;522,6740;1651,2073;0,3165;2023,9925;0,2582
