Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;2.000;43.00;1,6300;2,8192;1,1801;0,0000;0,0000;410,8362;0,0000;N/A_Corr;0,0000;N/A_Corr
2;2.000;43.00;1,6300;10,0014;2,4926;0,0000;0,0000;867,7604;0,0000;N/A_Corr;0,0000;N/A_Corr
3;2.000;43.00;1,6300;20,2023;0,4849;4,1100;124,8112;168,8281;158,9145;1,0624;219,2274;0,7701
4;2.000;43.00;1,6300;20,1950;0,5084;4,1900;127,2868;176,9982;162,0665;1,0921;223,5757;0,7917
5;2.000;43.00;1,6300;20,0870;0,5165;4,2600;130,1090;179,8289;165,6600;1,0855;228,5330;0,7869
6;2.000;43.00;1,6300;20,3201;0,5392;4,3100;130,1260;187,7275;165,6816;1,1331;228,5628;0,8213
7;2.000;43.00;1,6300;20,2129;0,5106;4,3800;132,9406;177,7675;169,2653;1,0502;233,5066;0,7613
8;2.000;43.00;1,6300;19,9926;0,5210;4,3800;134,4057;181,3811;171,1307;1,0599;236,0800;0,7683
9;2.000;43.00;1,6300;20,2143;0,5324;4,7200;143,2506;185,3368;182,3924;1,0161;251,6158;0,7366
10;2.000;43.00;1,6300;20,2688;0,5546;5,1200;154,9720;193,0837;197,3165;0,9785;272,2042;0,7093
11;2.000;43.00;1,6300;19,9914;0,5700;5,1800;158,9639;198,4391;202,3991;0,9804;279,2158;0,7107
12;2.000;43.00;1,6300;20,3139;0,5695;5,2800;159,4603;198,2714;203,0312;0,9766;280,0877;0,7079
13;2.000;43.00;1,6300;10,3166;0,5760;2,7100;161,1547;200,5443;205,1886;0,9774;283,0639;0,7085
14;2.000;43.00;1,6300;20,2615;0,5616;5,3500;161,9924;195,4991;206,2552;0,9479;284,5353;0,6871
15;2.000;43.00;1,6300;20,1095;0,5687;5,3200;162,3019;197,9791;206,6492;0,9580;285,0789;0,6945
16;2.000;43.00;1,6300;20,4286;0,5768;5,6300;169,0765;200,7949;215,2749;0,9327;296,9783;0,6761
17;2.000;43.00;1,6300;20,2065;0,7595;9,1800;278,7172;264,4063;354,8737;0,7451;489,5591;0,5401
18;2.000;43.00;1,6300;20,2659;0,7663;9,2400;279,7172;266,7747;356,1470;0,7491;491,3156;0,5430
19;2.000;43.00;1,6300;20,0923;0,7620;9,1900;280,6075;265,2803;357,2805;0,7425;492,8794;0,5382
20;2.000;43.00;1,6300;20,2023;0,7714;9,3000;282,4200;268,5441;359,5883;0,7468;496,0630;0,5414
21;2.000;43.00;1,6300;20,2024;0,7590;9,6700;293,6536;264,2251;373,8914;0,7067;515,7945;0,5123
22;2.000;43.00;1,6300;20,2189;0,7571;9,8300;298,2691;263,5657;379,7680;0,6940;523,9016;0,5031
23;2.000;43.00;1,6300;10,1088;0,9043;6,6700;404,7993;314,8252;515,4065;0,6108;711,0190;0,4428
24;2.000;43.00;1,6300;10,2253;0,8960;6,7700;406,1863;311,9218;517,1724;0,6031;713,4552;0,4372
25;2.000;43.00;1,6300;9,8821;0,8938;6,6700;414,0830;311,1753;527,2268;0,5902;727,3255;0,4278
26;2.000;43.00;1,6300;10,3314;0,9013;6,9900;415,0791;313,7686;528,4952;0,5937;729,0752;0,4304
27;2.000;43.00;1,6300;10,2215;0,9185;7,5100;450,7500;319,7505;573,9127;0,5571;791,7301;0,4039
28;2.000;43.00;1,6300;10,2925;0,9220;7,7300;460,7555;320,9823;586,6522;0,5471;809,3046;0,3966
29;2.000;43.00;1,6300;10,2280;1,2389;14,8100;888,3328;431,2993;1131,0604;0,3813;1560,3323;0,2764
30;2.000;43.00;1,6300;10,0994;1,2336;15,0500;914,2256;429,4509;1164,0282;0,3689;1605,8124;0,2674
31;2.000;43.00;1,6300;10,2177;1,2430;15,6100;937,2666;432,7370;1193,3649;0,3626;1646,2832;0,2629
32;2.000;43.00;1,6300;10,2290;1,2715;15,8600;951,2274;442,6531;1211,1403;0,3655;1670,8050;0,2649
33;2.000;43.00;1,6300;10,2216;1,2513;15,9100;954,9128;435,6102;1215,8328;0,3583;1677,2784;0,2597
34;2.000;43.00;1,6300;10,2235;1,2607;16,6800;1000,9462;438,9163;1274,4443;0,3444;1758,1347;0,2496
35;2.000;43.00;1,6300;10,1187;1,2725;16,6400;1008,8800;443,0201;1284,5459;0,3449;1772,0703;0,2500
36;2.000;43.00;1,6300;10,5601;1,4435;27,9400;1623,2014;502,5431;2066,7242;0,2432;2851,1091;0,1763
37;2.000;43.00;1,6300;10,5123;1,5916;37,3400;2179,1501;554,1022;2774,5801;0,1997;3827,6179;0,1448
38;2.000;43.00;1,6300;10,2992;1,6289;37,8100;2252,2428;567,0879;2867,6446;0,1978;3956,0032;0,1433
39;2.000;43.00;1,6300;10,2280;1,6511;37,6800;2260,1217;574,8192;2877,6763;0,1998;3969,8422;0,1448
40;2.000;43.00;1,6300;10,0770;1,6956;39,2400;2388,9592;590,2907;3041,7173;0,1941;4196,1418;0,1407
41;2.000;43.00;1,6300;10,2999;1,7288;48,9800;2917,4204;601,8753;3714,5750;0,1620;5124,3695;0,1175
42;2.000;43.00;1,6300;10,3313;1,7404;49,3100;2928,1538;605,8955;3728,2412;0,1625;5143,2224;0,1178
43;2.000;43.00;1,6300;10,4518;1,7062;51,3200;3012,3708;593,9844;3835,4697;0,1549;5291,1474;0,1123
44;2.000;43.00;1,6300;10,1003;1,7468;55,0200;3341,9430;608,1411;4255,0940;0,1429;5870,0320;0,1036
