P_ext(bar);M_ext(g);t_ext(s);D_cap(mm);L_cap(mm);rho(g/cm³);τw (Pa);γ̇w (s⁻¹);η (Pa·s)
0,4849;4,1100;20,2023;2,0000;43,0000;1,6300;563,8880;158,9145;3,5484
0,5084;4,1900;20,1950;2,0000;43,0000;1,6300;591,1764;162,0665;3,6477
0,5106;4,3800;20,2129;2,0000;43,0000;1,6300;593,7457;169,2653;3,5078
0,5165;4,2600;20,0870;2,0000;43,0000;1,6300;600,6309;165,6600;3,6257
0,5210;4,3800;19,9926;2,0000;43,0000;1,6300;605,8152;171,1307;3,5401
0,5324;4,7200;20,2143;2,0000;43,0000;1,6300;619,0273;182,3924;3,3939
0,5392;4,3100;20,3201;2,0000;43,0000;1,6300;627,0122;165,6816;3,7844
0,5546;5,1200;20,2688;2,0000;43,0000;1,6300;644,9021;197,3165;3,2684
0,5616;5,3500;20,2615;2,0000;43,0000;1,6300;652,9697;206,2552;3,1658
0,5687;5,3200;20,1095;2,0000;43,0000;1,6300;661,2529;206,6492;3,1999
0,5695;5,2800;20,3139;2,0000;43,0000;1,6300;662,2292;203,0312;3,2617
0,5700;5,1800;19,9914;2,0000;43,0000;1,6300;662,7894;202,3991;3,2747
0,5760;2,7100;10,3166;2,0000;43,0000;1,6300;669,8206;205,1886;3,2644
0,5768;5,6300;20,4286;2,0000;43,0000;1,6300;670,6576;215,2749;3,1154
0,7571;9,8300;20,2189;2,0000;43,0000;1,6300;880,3129;379,7680;2,3180
0,7590;9,6700;20,2024;2,0000;43,0000;1,6300;882,5154;373,8914;2,3604
0,7595;9,1800;20,2065;2,0000;43,0000;1,6300;883,1206;354,8737;2,4885
0,7620;9,1900;20,0923;2,0000;43,0000;1,6300;886,0397;357,2805;2,4800
0,7663;9,2400;20,2659;2,0000;43,0000;1,6300;891,0312;356,1470;2,5019
0,7714;9,3000;20,2023;2,0000;43,0000;1,6300;896,9408;359,5883;2,4944
0,8938;6,6700;9,8821;2,0000;43,0000;1,6300;1039,3296;527,2268;1,9713
0,8960;6,7700;10,2253;2,0000;43,0000;1,6300;1041,8231;517,1724;2,0145
0,9013;6,9900;10,3314;2,0000;43,0000;1,6300;1047,9914;528,4952;1,9830
0,9043;6,6700;10,1088;2,0000;43,0000;1,6300;1051,5205;515,4065;2,0402
0,9185;7,5100;10,2215;2,0000;43,0000;1,6300;1067,9711;573,9127;1,8609
0,9220;7,7300;10,2925;2,0000;43,0000;1,6300;1072,0853;586,6522;1,8275
1,2336;15,0500;10,0994;2,0000;43,0000;1,6300;1434,3716;1164,0282;1,2322
1,2389;14,8100;10,2280;2,0000;43,0000;1,6300;1440,5454;1131,0604;1,2736
1,2430;15,6100;10,2177;2,0000;43,0000;1,6300;1445,3473;1193,3649;1,2112
1,2513;15,9100;10,2216;2,0000;43,0000;1,6300;1454,9438;1215,8328;1,1967
1,2607;16,6800;10,2235;2,0000;43,0000;1,6300;1465,9863;1274,4443;1,1503
1,2715;15,8600;10,2290;2,0000;43,0000;1,6300;1478,4674;1211,1403;1,2207
1,2725;16,6400;10,1187;2,0000;43,0000;1,6300;1479,6930;1284,5459;1,1519
1,4435;27,9400;10,5601;2,0000;43,0000;1,6300;1678,5007;2066,7242;0,8122
1,5916;37,3400;10,5123;2,0000;43,0000;1,6300;1850,7089;2774,5801;0,6670
1,6289;37,8100;10,2992;2,0000;43,0000;1,6300;1894,0810;2867,6446;0,6605
1,6511;37,6800;10,2280;2,0000;43,0000;1,6300;1919,9038;2877,6763;0,6672
1,6956;39,2400;10,0770;2,0000;43,0000;1,6300;1971,5788;3041,7173;0,6482
1,7062;51,3200;10,4518;2,0000;43,0000;1,6300;1983,9157;3835,4697;0,5173
1,7288;48,9800;10,2999;2,0000;43,0000;1,6300;2010,2714;3714,5750;0,5412
1,7404;49,3100;10,3313;2,0000;43,0000;1,6300;2023,6990;3728,2412;0,5428
1,7468;55,0200;10,1003;2,0000;43,0000;1,6300;2031,1993;4255,0940;0,4774
