P_ext(bar);M_ext(g);t_ext(s);D_cap(mm);L_cap(mm);rho(g/cm³);τw (Pa);γ̇w (s⁻¹);η (Pa·s)
0,5134;4,8800;18,2969;3,0000;64,0000;1,6300;601,6727;61,7292;9,7470
0,5185;5,0000;18,3052;3,0000;64,0000;1,6300;607,6505;63,2185;9,6119
0,5194;4,7300;18,3012;3,0000;64,0000;1,6300;608,6693;59,8177;10,1754
0,5239;5,2300;18,4137;3,0000;64,0000;1,6300;613,9095;65,7369;9,3389
0,5275;4,7600;18,2976;3,0000;64,0000;1,6300;618,1739;60,2090;10,2671
0,5290;5,0700;18,6363;3,0000;64,0000;1,6300;619,9437;62,9647;9,8459
0,5331;5,1400;18,4131;3,0000;64,0000;1,6300;624,7747;64,6077;9,6703
0,5365;4,8600;18,6431;3,0000;64,0000;1,6300;628,7173;60,3347;10,4205
0,5405;5,2300;18,2976;3,0000;64,0000;1,6300;633,3496;66,1542;9,5738
0,5428;4,8100;17,0659;3,0000;64,0000;1,6300;636,0952;65,2325;9,7512
0,5445;5,7500;18,4082;3,0000;64,0000;1,6300;638,0995;72,2944;8,8264
0,5547;5,9400;18,4207;3,0000;64,0000;1,6300;650,0945;74,6328;8,7106
0,5634;6,0000;18,3112;3,0000;64,0000;1,6300;660,2063;75,8374;8,7056
0,5704;5,7700;18,2958;3,0000;64,0000;1,6300;668,4159;72,9917;9,1574
0,5774;6,2300;18,4049;3,0000;64,0000;1,6300;676,5994;78,3435;8,6363
0,6465;7,8000;18,2995;3,0000;64,0000;1,6300;757,5592;98,6517;7,6791
0,6638;8,1900;18,2493;3,0000;64,0000;1,6300;777,9008;103,8690;7,4892
0,6682;8,6000;18,2970;3,0000;64,0000;1,6300;783,0612;108,7848;7,1983
0,6735;8,6700;18,1829;3,0000;64,0000;1,6300;789,2078;110,3584;7,1513
0,6850;8,4400;18,3059;3,0000;64,0000;1,6300;802,7366;106,7089;7,5227
1,1929;27,8900;10,4430;3,0000;64,0000;1,6300;1397,9040;618,1210;2,2615
1,2350;29,3800;10,4463;3,0000;64,0000;1,6300;1447,2641;650,9343;2,2234
1,2556;29,8400;10,4423;3,0000;64,0000;1,6300;1471,4478;661,3782;2,2248
1,2686;34,1300;10,4480;3,0000;64,0000;1,6300;1486,6065;756,0490;1,9663
1,3428;26,5400;10,4425;3,0000;64,0000;1,6300;1573,5363;588,2287;2,6750
1,3435;28,4900;10,4419;3,0000;64,0000;1,6300;1574,4710;631,4835;2,4933
1,3526;29,0700;10,7775;3,0000;64,0000;1,6300;1585,0958;624,2753;2,5391
1,3797;35,5200;10,4298;3,0000;64,0000;1,6300;1616,8136;788,2188;2,0512
1,4563;29,4300;4,7295;3,0000;64,0000;1,6300;1706,5938;1440,1999;1,1850
1,4587;41,4200;5,2850;3,0000;64,0000;1,6300;1709,3944;1813,8997;0,9424
1,4676;39,1200;5,2899;3,0000;64,0000;1,6300;1719,8129;1711,5953;1,0048
1,4730;31,8300;4,6111;3,0000;64,0000;1,6300;1726,1849;1597,6642;1,0804
1,4904;38,6400;5,4002;3,0000;64,0000;1,6300;1746,5517;1656,0512;1,0546
1,4993;58,8700;5,1721;3,0000;64,0000;1,6300;1757,0216;2634,3582;0,6670
1,5146;58,4900;5,4029;3,0000;64,0000;1,6300;1774,9209;2505,5421;0,7084
1,5561;59,0400;5,4037;3,0000;64,0000;1,6300;1823,5670;2528,7300;0,7211
1,6122;61,2700;5,5131;3,0000;64,0000;1,6300;1889,2734;2572,1924;0,7345
