Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;3.000;64.00;1,6300;6,9646;0,4088;1,2100;106,5862;138,6080;40,2103;3,4471;62,5078;2,2175
2;3.000;64.00;1,6300;18,3012;0,5194;4,7300;158,5599;176,0880;59,8177;2,9437;92,9879;1,8937
3;3.000;64.00;1,6300;18,2976;0,5275;4,7600;159,5971;178,8377;60,2090;2,9703;93,5962;1,9107
4;3.000;64.00;1,6300;18,6431;0,5365;4,8600;159,9303;181,8879;60,3347;3,0146;93,7916;1,9393
5;3.000;64.00;1,6300;18,2969;0,5134;4,8800;163,6269;174,0639;61,7292;2,8198;95,9594;1,8139
6;3.000;64.00;1,6300;18,6363;0,5290;5,0700;166,9018;179,3497;62,9647;2,8484;97,8800;1,8323
7;3.000;64.00;1,6300;18,3052;0,5185;5,0000;167,5744;175,7933;63,2185;2,7807;98,2745;1,7888
8;3.000;64.00;1,6300;18,4131;0,5331;5,1400;171,2567;180,7473;64,6077;2,7976;100,4340;1,7997
9;3.000;64.00;1,6300;17,0659;0,5428;4,8100;172,9130;184,0223;65,2325;2,8210;101,4053;1,8147
10;3.000;64.00;1,6300;18,4137;0,5239;5,2300;174,2501;177,6040;65,7369;2,7017;102,1894;1,7380
11;3.000;64.00;1,6300;18,2976;0,5405;5,2300;175,3561;183,2280;66,1542;2,7697;102,8381;1,7817
12;3.000;64.00;1,6300;18,4082;0,5445;5,7500;191,6322;184,6022;72,2944;2,5535;112,3832;1,6426
13;3.000;64.00;1,6300;18,2958;0,5704;5,7700;193,4805;193,3727;72,9917;2,6492;113,4672;1,7042
14;3.000;64.00;1,6300;18,4207;0,5547;5,9400;197,8306;188,0724;74,6328;2,5200;116,0183;1,6211
15;3.000;64.00;1,6300;18,3112;0,5634;6,0000;201,0236;190,9977;75,8374;2,5185;117,8908;1,6201
16;3.000;64.00;1,6300;18,4049;0,5774;6,2300;207,6667;195,7402;78,3435;2,4985;121,7867;1,6072
17;3.000;64.00;1,6300;18,2995;0,6465;7,8000;261,4979;219,1619;98,6517;2,2216;153,3561;1,4291
18;3.000;64.00;1,6300;18,2493;0,6638;8,1900;275,3276;225,0467;103,8690;2,1666;161,4666;1,3938
19;3.000;64.00;1,6300;18,3059;0,6850;8,4400;282,8553;232,2317;106,7089;2,1763;165,8812;1,4000
20;3.000;64.00;1,6300;18,2970;0,6682;8,6000;288,3578;226,5396;108,7848;2,0825;169,1082;1,3396
21;3.000;64.00;1,6300;18,1829;0,6735;8,6700;292,5292;228,3178;110,3584;2,0689;171,5545;1,3309
22;3.000;64.00;1,6300;10,4425;1,3428;26,5400;1559,2289;455,2241;588,2287;0,7739;914,4139;0,4978
23;3.000;64.00;1,6300;10,4430;1,1929;27,8900;1638,4650;404,4136;618,1210;0,6543;960,8822;0,4209
24;3.000;64.00;1,6300;10,7775;1,3526;29,0700;1654,7782;458,5682;624,2753;0,7346;970,4491;0,4725
25;3.000;64.00;1,6300;10,4419;1,3435;28,4900;1673,8851;455,4945;631,4835;0,7213;981,6544;0,4640
26;3.000;64.00;1,6300;10,4463;1,2350;29,3800;1725,4439;418,6935;650,9343;0,6432;1011,8911;0,4138
27;3.000;64.00;1,6300;10,4423;1,2556;29,8400;1753,1276;425,6898;661,3782;0,6436;1028,1263;0,4140
28;3.000;64.00;1,6300;10,4480;1,2686;34,1300;2004,0732;430,0752;756,0490;0,5688;1175,2940;0,3659
29;3.000;64.00;1,6300;10,4298;1,3797;35,5200;2089,3464;467,7442;788,2188;0,5934;1225,3028;0,3817
30;3.000;64.00;1,6300;4,7295;1,4563;29,4300;3817,5650;493,7176;1440,1999;0,3428;2238,8211;0,2205
31;3.000;64.00;1,6300;4,6111;1,4730;31,8300;4234,9586;499,3853;1597,6642;0,3126;2483,6027;0,2011
32;3.000;64.00;1,6300;5,4002;1,4904;38,6400;4389,7260;505,2774;1656,0512;0,3051;2574,3665;0,1963
33;3.000;64.00;1,6300;5,2899;1,4676;39,1200;4536,9579;497,5419;1711,5953;0,2907;2660,7110;0,1870
34;3.000;64.00;1,6300;5,2850;1,4587;41,4200;4808,1380;494,5278;1813,8997;0,2726;2819,7453;0,1754
35;3.000;64.00;1,6300;5,4029;1,5146;58,4900;6641,4876;513,4846;2505,5421;0,2049;3894,9180;0,1318
36;3.000;64.00;1,6300;5,4037;1,5561;59,0400;6702,9522;527,5579;2528,7300;0,2086;3930,9641;0,1342
37;3.000;64.00;1,6300;5,5131;1,6122;61,2700;6818,1589;546,5668;2572,1924;0,2125;3998,5274;0,1367
38;3.000;64.00;1,6300;5,1721;1,4993;58,8700;6982,9429;508,3064;2634,3582;0,1930;4095,1654;0,1241
39;3.000;64.00;1,6300;5,4010;1,8577;123,1600;13989,7202;629,8072;5277,7081;0,1193;8204,3085;0,0768
