P_ext(bar);M_ext(g);t_ext(s);D_cap(mm);L_cap(mm);rho(g/cm³);τw (Pa);γ̇w (s⁻¹);η (Pa·s)
1,0995;4,0700;30,3076;1,0000;43,0000;1,6300;639,2229;839,1799;0,7617
1,1029;4,1300;30,3908;1,0000;43,0000;1,6300;641,2152;849,2211;0,7551
1,1061;4,1900;30,3036;1,0000;43,0000;1,6300;643,0734;864,0374;0,7443
1,1075;4,2700;30,3157;1,0000;43,0000;1,6300;643,9080;880,1813;0,7316
1,1182;4,5500;30,3091;1,0000;43,0000;1,6300;650,1200;938,1031;0,6930
1,3699;5,9200;30,1985;1,0000;43,0000;1,6300;796,4361;1225,0341;0,6501
1,3951;6,0000;30,3726;1,0000;43,0000;1,6300;811,1302;1234,4742;0,6571
1,4026;6,2200;30,1932;1,0000;43,0000;1,6300;815,4483;1287,3399;0,6334
1,4072;6,3100;30,3108;1,0000;43,0000;1,6300;818,1681;1300,9031;0,6289
1,4124;6,2600;30,4215;1,0000;43,0000;1,6300;821,1751;1285,8983;0,6386
1,8713;10,4300;30,2861;1,0000;43,0000;1,6300;1087,9730;2152,0587;0,5055
1,8727;10,8100;30,3110;1,0000;43,0000;1,6300;1088,7652;2228,6333;0,4885
1,8816;10,6200;30,5288;1,0000;43,0000;1,6300;1093,9284;2173,8391;0,5032
1,8874;10,5400;30,3184;1,0000;43,0000;1,6300;1097,2999;2172,4362;0,5051
1,8885;11,0700;30,2427;1,0000;43,0000;1,6300;1097,9916;2287,3850;0,4800
1,9164;10,8900;30,3206;1,0000;43,0000;1,6300;1114,1842;2244,4109;0,4964
2,3015;17,5900;30,6134;1,0000;43,0000;1,6300;1338,0574;3590,5965;0,3727
2,3045;18,2400;30,5782;1,0000;43,0000;1,6300;1339,8313;3727,5689;0,3594
2,3409;19,2300;30,4144;1,0000;43,0000;1,6300;1360,9849;3951,0550;0,3445
2,3584;17,8000;30,4302;1,0000;43,0000;1,6300;1371,1722;3655,3437;0,3751
2,3626;20,8100;30,7364;1,0000;43,0000;1,6300;1373,6189;4230,8943;0,3247
2,3997;20,4900;30,4816;1,0000;43,0000;1,6300;1395,1506;4200,6578;0,3321
2,5596;14,8800;20,5542;1,0000;43,0000;1,6300;1488,1422;4523,9290;0,3289
2,5704;14,2600;20,6601;1,0000;43,0000;1,6300;1494,4308;4313,2105;0,3465
2,5791;13,9300;20,4308;1,0000;43,0000;1,6300;1499,4901;4260,6671;0,3519
2,5968;9,1400;20,2919;1,0000;43,0000;1,6300;1509,7496;2814,7206;0,5364
2,6058;12,9700;20,5290;1,0000;43,0000;1,6300;1514,9886;3948,0652;0,3837
2,6212;10,7500;20,4094;1,0000;43,0000;1,6300;1523,9808;3291,4724;0,4630
2,6232;13,4200;20,3713;1,0000;43,0000;1,6300;1525,0959;4116,6694;0,3705
