Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;1.500;43.00;1,6300;20,1996;0,8289;2,6400;80,1815;722,8859;241,9917;2,9872;312,5994;2,3125
2;1.500;43.00;1,6300;20,2053;0,8301;2,6800;81,3733;723,9185;245,5886;2,9477;317,2458;2,2819
3;1.500;43.00;1,6300;20,2621;0,8265;2,7400;82,9618;720,8183;250,3829;2,8789;323,4390;2,2286
4;1.500;43.00;1,6300;20,2788;0,8229;2,9100;88,0366;717,6789;265,6989;2,7011;343,2239;2,0910
5;1.500;43.00;1,6300;20,2146;0,7836;2,9200;88,6195;683,4036;267,4582;2,5552;345,4964;1,9780
6;1.500;43.00;1,6300;20,0933;0,8208;3,0700;93,7347;715,7801;282,8960;2,5302;365,4387;1,9587
7;1.500;43.00;1,6300;20,2070;0,9467;3,1500;95,6360;825,6421;288,6341;2,8605;372,8511;2,2144
8;1.500;43.00;1,6300;20,3189;0,9312;3,2700;98,7324;812,0868;297,9794;2,7253;384,9231;2,1097
9;1.500;43.00;1,6300;20,2115;0,9404;3,2800;99,5606;820,0927;300,4789;2,7293;388,1519;2,1128
10;1.500;43.00;1,6300;20,1976;0,9305;3,2900;99,9331;811,4954;301,6030;2,6906;389,6039;2,0829
11;1.500;43.00;1,6300;20,3705;0,9385;3,3600;101,1927;818,4785;305,4046;2,6800;394,5148;2,0746
12;1.500;43.00;1,6300;20,2214;0,9408;3,3500;101,6356;820,5079;306,7412;2,6749;396,2413;2,0707
13;1.500;43.00;1,6300;20,0311;0,9421;3,3500;102,6014;821,5988;309,6559;2,6533;400,0066;2,0540
14;1.500;43.00;1,6300;20,1578;1,0017;3,6900;112,3039;873,5860;338,9388;2,5774;437,8335;1,9952
15;1.500;43.00;1,6300;20,1942;1,0191;3,9700;120,6082;888,7762;364,0015;2,4417;470,2090;1,8902
16;1.500;43.00;1,6300;20,3344;1,0177;4,0500;122,1904;887,5325;368,7765;2,4067;476,3772;1,8631
17;1.500;43.00;1,6300;20,3301;1,0019;4,0700;122,8197;873,7847;370,6760;2,3573;478,8309;1,8248
18;1.500;43.00;1,6300;20,3769;1,0321;4,1800;125,8493;900,0899;379,8194;2,3698;490,6421;1,8345
19;1.500;43.00;1,6300;20,3202;1,0095;4,3000;129,8235;880,3836;391,8139;2,2469;506,1363;1,7394
20;1.500;43.00;1,6300;20,1580;1,0415;4,3200;131,4768;908,2508;396,8035;2,2889;512,5818;1,7719
21;1.500;43.00;1,6300;20,2264;1,2258;5,3500;162,2736;1068,9722;489,7496;2,1827;632,6475;1,6897
