Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;1.000;43.00;1,6300;30,3059;0,5580;1,5500;31,3774;188,5443;319,6072;0,5899;363,6588;0,5185
2;1.000;43.00;1,6300;30,1931;0,5606;1,5700;31,9010;189,4163;324,9409;0,5829;369,7276;0,5123
3;1.000;43.00;1,6300;30,4115;0,5537;1,6200;32,6805;187,0966;332,8813;0,5621;378,7624;0,4940
4;1.000;43.00;1,6300;30,1923;0,5471;1,6200;32,9178;184,8854;335,2982;0,5514;381,5124;0,4846
5;1.000;43.00;1,6300;30,1861;0,5464;1,6400;33,3311;184,6165;339,5078;0,5438;386,3023;0,4779
6;1.000;43.00;1,6300;30,1304;0,6114;1,8200;37,0577;206,5986;377,4664;0,5473;429,4927;0,4810
7;1.000;43.00;1,6300;30,2502;0,6018;1,8400;37,3166;203,3663;380,1036;0,5350;432,4934;0,4702
8;1.000;43.00;1,6300;30,2744;0,6132;1,8600;37,6920;207,2145;383,9276;0,5397;436,8445;0,4743
9;1.000;43.00;1,6300;30,1940;0,5993;1,8600;37,7925;202,5113;384,9509;0,5261;438,0088;0,4623
10;1.000;43.00;1,6300;30,3960;0,6357;1,8900;38,1468;214,8062;388,5603;0,5528;442,1157;0,4859
11;1.000;43.00;1,6300;30,1923;0,6348;1,9000;38,6073;214,4986;393,2510;0,5454;447,4529;0,4794
12;1.000;43.00;1,6300;30,3034;0,6180;1,9200;38,8707;208,8357;395,9334;0,5275;450,5050;0,4636
13;1.000;43.00;1,6300;30,2494;0,6425;1,9400;39,3457;217,1085;400,7724;0,5417;456,0110;0,4761
14;1.000;43.00;1,6300;30,2847;0,6517;2,0800;42,1359;220,2108;429,1924;0,5131;488,3481;0,4509
15;1.000;43.00;1,6300;30,2501;0,6886;2,2000;44,6178;232,6765;454,4728;0,5120;517,1129;0,4500
16;1.000;43.00;1,6300;30,1356;0,9749;3,4700;70,6419;329,4241;719,5523;0,4578;818,7284;0,4024
17;1.000;43.00;1,6300;30,1316;0,9800;3,4700;70,6512;331,1464;719,6472;0,4602;818,8364;0,4044
18;1.000;43.00;1,6300;30,1871;0,9684;3,6100;73,3665;327,2370;747,3050;0,4379;850,3063;0,3848
19;1.000;43.00;1,6300;30,2693;0,9847;3,6200;73,3700;332,7367;747,3409;0,4452;850,3472;0,3913
20;1.000;43.00;1,6300;30,3052;0,9901;3,9500;79,9636;334,5481;814,5029;0,4107;926,7662;0,3610
21;1.000;43.00;1,6300;30,2396;1,2830;5,1100;103,6708;433,5221;1055,9825;0,4105;1201,5289;0,3608
22;1.000;43.00;1,6300;30,3492;1,2909;5,2400;105,9245;436,2142;1078,9376;0,4043;1227,6480;0,3553
23;1.000;43.00;1,6300;30,2465;1,3027;5,2800;107,0956;440,1860;1090,8664;0,4035;1241,2210;0,3546
24;1.000;43.00;1,6300;30,2770;1,3224;5,6200;113,8770;446,8613;1159,9413;0,3852;1319,8164;0,3386
25;1.000;43.00;1,6300;30,2466;1,3108;5,6200;113,9915;442,9436;1161,1076;0,3815;1321,1435;0,3353
26;1.000;43.00;1,6300;30,3833;1,5829;6,5300;131,8531;534,8808;1343,0449;0,3983;1528,1572;0,3500
27;1.000;43.00;1,6300;30,3943;1,5943;6,8200;137,6591;538,7368;1402,1844;0,3842;1595,4480;0,3377
28;1.000;43.00;1,6300;30,2748;1,5910;6,8100;137,9999;537,6078;1405,6554;0,3825;1599,3974;0,3361
29;1.000;43.00;1,6300;30,1446;1,5940;7,0200;142,8697;538,6318;1455,2584;0,3701;1655,8372;0,3253
30;1.000;43.00;1,6300;30,3870;1,6015;7,1800;144,9602;541,1544;1476,5523;0,3665;1680,0660;0,3221
31;1.000;43.00;1,6300;30,2709;1,8322;8,3500;169,2283;619,1299;1723,7455;0,3592;1961,3299;0,3157
32;1.000;43.00;1,6300;30,1947;1,8520;8,5700;174,1253;625,8053;1773,6261;0,3528;2018,0856;0,3101
33;1.000;43.00;1,6300;30,2938;1,8295;8,6300;174,7711;618,1953;1780,2039;0,3473;2025,5700;0,3052
34;1.000;43.00;1,6300;30,3018;1,8590;8,6800;175,7372;628,1625;1790,0443;0,3509;2036,7668;0,3084
35;1.000;43.00;1,6300;30,3994;1,8730;8,7800;177,1911;632,8973;1804,8534;0,3507;2053,6170;0,3082
36;1.000;43.00;1,6300;30,1940;2,0575;9,8100;199,3243;695,2599;2030,3006;0,3424;2310,1376;0,3010
37;1.000;43.00;1,6300;30,1881;2,0347;10,2800;208,9148;687,5263;2127,9884;0,3231;2421,2898;0,2840
38;1.000;43.00;1,6300;30,1750;2,0270;10,4000;211,4454;684,9359;2153,7653;0,3180;2450,6195;0,2795
39;1.000;43.00;1,6300;30,1921;2,0607;10,6500;216,4055;696,3174;2204,2882;0,3159;2508,1061;0,2776
40;1.000;43.00;1,6300;30,4270;2,0443;10,8100;217,9608;690,7706;2220,1302;0,3111;2526,1316;0,2734
41;1.000;43.00;1,6300;30,2860;2,3661;13,6100;275,6944;799,5059;2808,1998;0,2847;3195,2549;0,2502
42;1.000;43.00;1,6300;30,3834;2,3782;13,7200;277,0320;803,6236;2821,8246;0,2848;3210,7577;0,2503
43;1.000;43.00;1,6300;30,3446;2,3694;13,8500;280,0149;800,6389;2852,2079;0,2807;3245,3287;0,2467
44;1.000;43.00;1,6300;31,3691;2,3858;14,5800;285,1466;806,1917;2904,4790;0,2776;3304,8044;0,2439
45;1.000;43.00;1,6300;30,4733;2,3814;14,7400;296,7502;804,6907;3022,6731;0,2662;3439,2892;0,2340
46;1.000;43.00;1,6300;30,3655;2,5761;15,8700;320,6338;870,4851;3265,9486;0,2665;3716,0955;0,2342
47;1.000;43.00;1,6300;30,4888;2,5709;15,9900;321,7515;868,7243;3277,3334;0,2651;3729,0495;0,2330
48;1.000;43.00;1,6300;30,4800;2,5807;16,3400;328,8895;872,0274;3350,0412;0,2603;3811,7786;0,2288
49;1.000;43.00;1,6300;30,3631;2,5805;16,3000;329,3470;871,9730;3354,7013;0,2599;3817,0810;0,2284
50;1.000;43.00;1,6300;30,3602;2,5657;17,3100;349,7879;866,9587;3562,9107;0,2433;4053,9879;0,2139
