Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;1.500;43.00;1,6300;30,2554;0,4506;1,7700;35,8907;130,4589;108,3199;1,2044;130,1220;1,0026
2;1.500;43.00;1,6300;30,1822;0,4370;1,8200;36,9941;126,5257;111,6500;1,1332;134,1223;0,9434
3;1.500;43.00;1,6300;30,3435;0,4353;1,8700;37,8083;126,0480;114,1075;1,1046;137,0744;0,9196
4;1.500;43.00;1,6300;30,3538;0,4659;2,1100;42,6463;134,8865;128,7087;1,0480;154,6145;0,8724
5;1.500;43.00;1,6300;30,3668;0,4778;2,2700;45,8606;138,3275;138,4095;0,9994;166,2678;0,8320
6;1.500;43.00;1,6300;30,2916;0,5814;3,0200;61,1642;168,3400;184,5964;0,9119;221,7510;0,7591
7;1.500;43.00;1,6300;30,1542;0,6003;3,0200;61,4429;173,7951;185,4377;0,9372;222,7616;0,7802
8;1.500;43.00;1,6300;30,3056;0,5883;3,0500;61,7432;170,3285;186,3441;0,9141;223,8504;0,7609
9;1.500;43.00;1,6300;30,0774;0,5933;3,0300;61,8037;171,7807;186,5266;0,9209;224,0697;0,7666
10;1.500;43.00;1,6300;30,2967;0,5983;3,1300;63,3814;173,2294;191,2882;0,9056;229,7897;0,7539
11;1.500;43.00;1,6300;30,1849;0,6075;3,1800;64,6324;175,8822;195,0637;0,9017;234,3251;0,7506
12;1.500;43.00;1,6300;30,1813;0,6242;3,3000;67,0793;180,7278;202,4485;0,8927;243,1963;0,7431
13;1.500;43.00;1,6300;30,3836;0,6436;3,5300;71,2768;186,3503;215,1170;0,8663;258,4146;0,7211
14;1.500;43.00;1,6300;30,3774;0,6557;3,5900;72,5031;189,8480;218,8178;0,8676;262,8603;0,7222
15;1.500;43.00;1,6300;30,1838;0,6640;3,7400;76,0169;192,2636;229,4226;0,8380;275,5996;0,6976
16;1.500;43.00;1,6300;30,0762;0,7346;4,1500;84,6519;212,6847;255,4837;0,8325;306,9061;0,6930
17;1.500;43.00;1,6300;30,0802;0,7452;4,2300;86,2724;215,7592;260,3745;0,8286;312,7813;0,6898
18;1.500;43.00;1,6300;30,0820;0,7391;4,2500;86,6753;214,0029;261,5902;0,8181;314,2417;0,6810
19;1.500;43.00;1,6300;30,2928;0,7526;4,4300;89,7173;217,9076;270,7713;0,8048;325,2707;0,6699
20;1.500;43.00;1,6300;30,2960;0,7495;4,5900;92,9480;217,0152;280,5216;0,7736;336,9834;0,6440
21;1.500;43.00;1,6300;30,4107;1,2847;6,8000;137,1814;371,9590;414,0201;0,8984;497,3519;0,7479
22;1.500;43.00;1,6300;30,1883;1,0589;7,4100;150,5884;306,5964;454,4833;0,6746;545,9592;0,5616
23;1.500;43.00;1,6300;30,1841;1,0676;7,6900;156,3006;309,1207;471,7229;0,6553;566,6688;0,5455
24;1.500;43.00;1,6300;30,1895;1,0759;7,9300;161,1499;311,5246;486,3584;0,6405;584,2500;0,5332
25;1.500;43.00;1,6300;30,1976;1,0864;8,3300;169,2328;314,5373;510,7528;0,6158;613,5544;0,5126
26;1.500;43.00;1,6300;30,1843;1,2810;9,4200;191,4617;370,8983;577,8410;0,6419;694,1457;0,5343
27;1.500;43.00;1,6300;30,1899;1,2979;10,6200;215,8121;375,7744;651,3315;0,5769;782,4280;0,4803
28;1.500;43.00;1,6300;30,4009;1,2916;10,7600;217,1394;373,9594;655,3375;0,5706;787,2403;0,4750
29;1.500;43.00;1,6300;30,4009;1,2864;11,1700;225,4129;372,4439;680,3074;0,5475;817,2360;0,4557
30;1.500;43.00;1,6300;30,3623;1,6958;15,0100;303,2899;491,0059;915,3437;0,5364;1099,5792;0,4465
31;1.500;43.00;1,6300;30,3544;1,6826;16,3700;330,8560;487,1646;998,5399;0,4879;1199,5206;0,4061
32;1.500;43.00;1,6300;30,1496;1,6902;16,4300;334,3246;489,3609;1009,0080;0,4850;1212,0958;0,4037
33;1.500;43.00;1,6300;30,3052;1,9819;25,7200;520,6741;573,8412;1571,4200;0,3652;1887,7070;0,3040
34;1.500;43.00;1,6300;30,3019;2,0465;26,0000;526,4003;592,5326;1588,7019;0,3730;1908,4674;0,3105
35;1.500;43.00;1,6300;30,5146;2,0349;26,7400;537,6081;589,1666;1622,5277;0,3631;1949,1014;0,3023
36;1.500;43.00;1,6300;30,5159;2,0326;26,7800;538,3899;588,5221;1624,8874;0,3622;1951,9361;0,3015
37;1.500;43.00;1,6300;30,4107;2,0261;27,1200;547,1108;586,6388;1651,2073;0,3553;1983,5535;0,2958
38;1.500;43.00;1,6300;30,5749;2,2659;39,2100;786,7624;656,0515;2374,4878;0,2763;2852,4120;0,2300
39;1.500;43.00;1,6300;30,3586;2,2532;39,5700;799,6441;652,3879;2413,3654;0,2703;2899,1147;0,2250
40;1.500;43.00;1,6300;30,4785;2,2766;39,8700;802,5372;659,1642;2422,0968;0,2721;2909,6035;0,2265
41;1.500;43.00;1,6300;30,3013;2,3148;39,9000;807,8372;670,2152;2438,0925;0,2749;2928,8188;0,2288
42;1.500;43.00;1,6300;30,4681;2,2443;40,2400;810,2608;649,7989;2445,4071;0,2657;2937,6057;0,2212
