Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;2.000;43.00;1,6300;10,3339;0,3558;1,1200;66,4918;173,4100;84,6600;2,0483;123,2248;1,4073
2;2.000;43.00;1,6300;10,2260;0,4253;1,6500;98,9900;207,3206;126,0380;1,6449;183,4515;1,1301
3;2.000;43.00;1,6300;10,2270;0,4450;1,7300;103,7791;216,8946;132,1357;1,6415;192,3268;1,1277
4;2.000;43.00;1,6300;10,3377;0,4668;2,0300;120,4712;227,5524;153,3886;1,4835;223,2610;1,0192
5;2.000;43.00;1,6300;10,3261;0,4601;2,1800;129,5182;224,2519;164,9077;1,3599;240,0272;0,9343
6;2.000;43.00;1,6300;11,2241;0,5075;2,5200;137,7407;247,3992;175,3769;1,4107;255,2654;0,9692
7;2.000;43.00;1,6300;10,4490;0,5715;2,9700;174,3796;278,5617;222,0270;1,2546;323,1659;0,8620
8;2.000;43.00;1,6300;10,1101;0,8294;7,7200;468,4618;404,2792;596,4641;0,6778;868,1683;0,4657
9;2.000;43.00;1,6300;10,0850;0,8360;7,8400;476,9259;407,4858;607,2409;0,6710;883,8542;0,4610
10;2.000;43.00;1,6300;10,2247;0,8618;11,2400;674,4159;420,0995;858,6930;0,4892;1249,8490;0,3361
11;2.000;43.00;1,6300;10,5611;0,8666;13,0600;758,6602;422,4372;965,9562;0,4373;1405,9731;0,3005
12;2.000;43.00;1,6300;10,3000;0,8850;17,1300;1020,3125;431,3842;1299,1023;0,3321;1890,8755;0,2281
