Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;2.000;43.00;1,6300;20,4021;0,8592;5,6100;168,6947;418,8032;214,7887;1,9498;270,8428;1,5463
2;2.000;43.00;1,6300;20,3179;0,8331;5,8200;175,7346;406,0661;223,7522;1,8148;282,1455;1,4392
3;2.000;43.00;1,6300;20,1515;0,8471;6,0500;184,1879;412,9020;234,5153;1,7607;295,7175;1,3963
4;2.000;43.00;1,6300;20,1602;0,8799;6,2800;191,1075;428,9044;243,3256;1,7627;306,8271;1,3979
5;2.000;43.00;1,6300;20,4269;0,8974;6,5100;195,5198;437,4137;248,9436;1,7571;313,9112;1,3934
6;2.000;43.00;1,6300;10,3338;1,4799;6,7400;400,1393;721,3551;509,4732;1,4159;642,4320;1,1229
7;2.000;43.00;1,6300;10,4441;1,5406;6,9100;405,8991;750,9663;516,8068;1,4531;651,6795;1,1524
8;2.000;43.00;1,6300;10,3360;1,4779;6,9100;410,1435;720,4104;522,2109;1,3795;658,4940;1,0940
9;2.000;43.00;1,6300;10,3026;1,5471;7,1800;427,5520;754,0979;544,3761;1,3853;686,4437;1,0986
10;2.000;43.00;1,6300;10,3206;1,4758;7,3400;436,3176;719,3648;555,5369;1,2949;700,5171;1,0269
11;2.000;43.00;1,6300;10,1047;2,3530;16,6900;1013,3175;1146,9330;1290,1959;0,8890;1626,9024;0,7050
12;2.000;43.00;1,6300;10,6563;2,2538;18,2100;1048,3726;1098,6186;1334,8294;0,8230;1683,1841;0,6527
13;2.000;43.00;1,6300;10,6728;2,2423;21,9400;1261,1638;1092,9763;1605,7636;0,6807;2024,8249;0,5398
14;2.000;43.00;1,6300;10,1927;2,5725;21,0600;1267,6015;1253,9262;1613,9603;0,7769;2035,1607;0,6161
15;2.000;43.00;1,6300;10,2164;2,6046;22,0600;1324,7038;1269,5922;1686,6653;0,7527;2126,8397;0,5969
16;2.000;43.00;1,6300;10,3044;3,0624;35,0800;2088,5639;1492,7623;2659,2421;0,5613;3353,2330;0,4452
17;2.000;43.00;1,6300;10,3306;3,1007;35,2700;2094,5521;1511,4213;2666,8666;0,5667;3362,8473;0,4494
18;2.000;43.00;1,6300;10,4460;3,0476;36,0000;2114,2980;1485,5450;2692,0078;0,5518;3394,5496;0,4376
19;2.000;43.00;1,6300;10,2153;3,2440;41,7200;2505,5626;1581,2412;3190,1813;0,4957;4022,7331;0,3931
20;2.000;43.00;1,6300;10,3313;3,3004;49,7400;2953,6823;1608,7478;3760,7451;0,4278;4742,1988;0,3392
21;2.000;43.00;1,6300;10,2164;3,5735;61,4300;3688,8823;1741,8517;4696,8308;0,3709;5922,5777;0,2941
