Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;1.500;43.00;1,6300;30,2554;0,4506;1,7700;35,8907;392,9484;108,3199;3,6277;132,7748;2,9595
2;1.500;43.00;1,6300;30,1822;0,4370;1,8200;36,9941;381,1016;111,6500;3,4134;136,8567;2,7847
3;1.500;43.00;1,6300;30,3435;0,4353;1,8700;37,8083;379,6628;114,1075;3,3272;139,8690;2,7144
4;1.500;43.00;1,6300;30,3538;0,4659;2,1100;42,6463;406,2845;128,7087;3,1566;157,7667;2,5752
5;1.500;43.00;1,6300;30,3668;0,4778;2,2700;45,8606;416,6490;138,4095;3,0103;169,6576;2,4558
6;1.500;43.00;1,6300;30,2916;0,5814;3,0200;61,1642;507,0482;184,5964;2,7468;226,2719;2,2409
7;1.500;43.00;1,6300;30,1542;0,6003;3,0200;61,4429;523,4792;185,4377;2,8229;227,3031;2,3030
8;1.500;43.00;1,6300;30,3056;0,5883;3,0500;61,7432;513,0376;186,3441;2,7532;228,4141;2,2461
9;1.500;43.00;1,6300;30,0774;0,5933;3,0300;61,8037;517,4117;186,5266;2,7739;228,6378;2,2630
10;1.500;43.00;1,6300;30,2967;0,5983;3,1300;63,3814;521,7754;191,2882;2,7277;234,4745;2,2253
11;1.500;43.00;1,6300;30,1849;0,6075;3,1800;64,6324;529,7655;195,0637;2,7159;239,1023;2,2156
12;1.500;43.00;1,6300;30,1813;0,6242;3,3000;67,0793;544,3610;202,4485;2,6889;248,1543;2,1936
13;1.500;43.00;1,6300;30,3836;0,6436;3,5300;71,2768;561,2959;215,1170;2,6093;263,6829;2,1287
14;1.500;43.00;1,6300;30,3774;0,6557;3,5900;72,5031;571,8313;218,8178;2,6133;268,2192;2,1320
15;1.500;43.00;1,6300;30,1838;0,6640;3,7400;76,0169;579,1073;229,4226;2,5242;281,2183;2,0593
16;1.500;43.00;1,6300;20,1996;0,8289;2,6400;80,1815;722,8859;241,9917;2,9872;296,6249;2,4370
17;1.500;43.00;1,6300;20,2053;0,8301;2,6800;81,3733;723,9185;245,5886;2,9477;301,0340;2,4048
18;1.500;43.00;1,6300;20,2621;0,8265;2,7400;82,9618;720,8183;250,3829;2,8789;306,9107;2,3486
19;1.500;43.00;1,6300;30,0762;0,7346;4,1500;84,6519;640,6166;255,4837;2,5075;313,1630;2,0456
20;1.500;43.00;1,6300;30,0802;0,7452;4,2300;86,2724;649,8772;260,3745;2,4959;319,1580;2,0362
21;1.500;43.00;1,6300;30,0820;0,7391;4,2500;86,6753;644,5870;261,5902;2,4641;320,6482;2,0103
22;1.500;43.00;1,6300;20,2788;0,8229;2,9100;88,0366;717,6789;265,6989;2,7011;325,6845;2,2036
23;1.500;43.00;1,6300;20,2146;0,7836;2,9200;88,6195;683,4036;267,4582;2,5552;327,8409;2,0846
24;1.500;43.00;1,6300;30,2928;0,7526;4,4300;89,7173;656,3480;270,7713;2,4240;331,9020;1,9775
25;1.500;43.00;1,6300;30,2960;0,7495;4,5900;92,9480;653,6603;280,5216;2,3302;343,8536;1,9010
26;1.500;43.00;1,6300;20,0933;0,8208;3,0700;93,7347;715,7801;282,8960;2,5302;346,7641;2,0642
27;1.500;43.00;1,6300;20,2070;0,9467;3,1500;95,6360;825,6421;288,6341;2,8605;353,7977;2,3337
28;1.500;43.00;1,6300;20,3189;0,9312;3,2700;98,7324;812,0868;297,9794;2,7253;365,2528;2,2234
29;1.500;43.00;1,6300;20,2115;0,9404;3,2800;99,5606;820,0927;300,4789;2,7293;368,3166;2,2266
30;1.500;43.00;1,6300;20,1976;0,9305;3,2900;99,9331;811,4954;301,6030;2,6906;369,6944;2,1950
31;1.500;43.00;1,6300;20,3705;0,9385;3,3600;101,1927;818,4785;305,4046;2,6800;374,3544;2,1864
32;1.500;43.00;1,6300;20,2214;0,9408;3,3500;101,6356;820,5079;306,7412;2,6749;375,9926;2,1822
33;1.500;43.00;1,6300;20,0311;0,9421;3,3500;102,6014;821,5988;309,6559;2,6533;379,5655;2,1646
34;1.500;43.00;1,6300;20,1578;1,0017;3,6900;112,3039;873,5860;338,9388;2,5774;415,4594;2,1027
35;1.500;43.00;1,6300;20,1942;1,0191;3,9700;120,6082;888,7762;364,0015;2,4417;446,1804;1,9920
36;1.500;43.00;1,6300;20,3344;1,0177;4,0500;122,1904;887,5325;368,7765;2,4067;452,0334;1,9634
37;1.500;43.00;1,6300;20,3301;1,0019;4,0700;122,8197;873,7847;370,6760;2,3573;454,3617;1,9231
38;1.500;43.00;1,6300;20,3769;1,0321;4,1800;125,8493;900,0899;379,8194;2,3698;465,5694;1,9333
39;1.500;43.00;1,6300;20,3202;1,0095;4,3000;129,8235;880,3836;391,8139;2,2469;480,2718;1,8331
40;1.500;43.00;1,6300;20,1580;1,0415;4,3200;131,4768;908,2508;396,8035;2,2889;486,3879;1,8673
41;1.500;43.00;1,6300;30,4107;1,2847;6,8000;137,1814;1120,3585;414,0201;2,7060;507,4914;2,2076
42;1.500;43.00;1,6300;30,1883;1,0589;7,4100;150,5884;923,4832;454,4833;2,0319;557,0898;1,6577
43;1.500;43.00;1,6300;30,1841;1,0676;7,6900;156,3006;931,0864;471,7229;1,9738;578,2215;1,6103
44;1.500;43.00;1,6300;30,1895;1,0759;7,9300;161,1499;938,3270;486,3584;1,9293;596,1612;1,5739
45;1.500;43.00;1,6300;20,2264;1,2258;5,3500;162,2736;1068,9722;489,7496;2,1827;600,3180;1,7807
46;1.500;43.00;1,6300;20,2532;1,2080;5,5700;168,7231;1053,5249;509,2145;2,0689;624,1775;1,6879
47;1.500;43.00;1,6300;30,1976;1,0864;8,3300;169,2328;947,4015;510,7528;1,8549;626,0630;1,5133
48;1.500;43.00;1,6300;30,1816;1,1087;8,3900;170,5420;966,8824;514,7042;1,8785;630,9065;1,5325
49;1.500;43.00;1,6300;20,3902;1,2428;5,7600;173,3057;1083,8650;523,0451;2,0722;641,1305;1,6906
50;1.500;43.00;1,6300;20,1792;1,2584;5,7700;175,4224;1097,4172;529,4334;2,0728;648,9610;1,6910
51;1.500;43.00;1,6300;20,2222;1,2340;5,9500;180,5096;1076,1377;544,7867;1,9753;667,7806;1,6115
52;1.500;43.00;1,6300;20,4443;1,2748;6,0600;181,8501;1111,7291;548,8326;2,0256;672,7399;1,6525
53;1.500;43.00;1,6300;30,1843;1,2810;9,4200;191,4617;1117,1637;577,8410;1,9333;708,2973;1,5773
54;1.500;43.00;1,6300;30,1899;1,2979;10,6200;215,8121;1131,8507;651,3315;1,7377;798,3794;1,4177
55;1.500;43.00;1,6300;30,4009;1,2916;10,7600;217,1394;1126,3838;655,3375;1,7188;803,2899;1,4022
56;1.500;43.00;1,6300;30,4009;1,2864;11,1700;225,4129;1121,8189;680,3074;1,6490;833,8971;1,3453
57;1.500;43.00;1,6300;20,2224;1,5165;8,3000;251,8010;1322,5193;759,9477;1,7403;931,5175;1,4197
58;1.500;43.00;1,6300;30,3016;1,7057;12,4900;252,8766;1487,5221;763,1941;1,9491;935,4968;1,5901
59;1.500;43.00;1,6300;20,2241;1,5471;8,4800;257,2402;1349,2142;776,3635;1,7379;951,6393;1,4178
60;1.500;43.00;1,6300;20,2203;1,4045;8,6200;261,5370;1224,8964;789,3315;1,5518;967,5351;1,2660
61;1.500;43.00;1,6300;30,3044;1,6982;13,5300;273,9079;1481,0201;826,6676;1,7916;1013,3004;1,4616
62;1.500;43.00;1,6300;20,3339;1,6153;9,3700;282,7043;1408,7184;853,2154;1,6511;1045,8417;1,3470
63;1.500;43.00;1,6300;20,2202;1,4962;9,3200;282,7760;1304,7883;853,4319;1,5289;1046,1072;1,2473
64;1.500;43.00;1,6300;20,2147;1,5669;9,5600;290,1372;1366,5058;875,6485;1,5606;1073,3395;1,2731
65;1.500;43.00;1,6300;20,1022;1,6233;9,6400;294,2017;1415,6412;887,9152;1,5943;1088,3755;1,3007
66;1.500;43.00;1,6300;20,3260;1,5931;9,9400;300,0173;1389,3707;905,4671;1,5344;1109,8901;1,2518
67;1.500;43.00;1,6300;30,3623;1,6958;15,0100;303,2899;1478,9335;915,3437;1,6157;1121,9965;1,3181
68;1.500;43.00;1,6300;20,4477;1,7276;10,6000;318,0341;1506,6197;959,8425;1,5697;1176,5415;1,2805
69;1.500;43.00;1,6300;20,2737;1,7841;10,8300;327,7229;1555,9304;989,0840;1,5731;1212,3848;1,2834
70;1.500;43.00;1,6300;30,3544;1,6826;16,3700;330,8560;1467,3631;998,5399;1,4695;1223,9754;1,1989
71;1.500;43.00;1,6300;30,1496;1,6902;16,4300;334,3246;1473,9787;1009,0080;1,4608;1236,8069;1,1918
72;1.500;43.00;1,6300;20,3028;1,7594;11,4000;344,4772;1534,3505;1039,6493;1,4758;1274,3659;1,2040
73;1.500;43.00;1,6300;20,2481;1,7405;12,1600;368,4349;1517,9197;1111,9548;1,3651;1362,9955;1,1137
