Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;1.000;43.00;1,6300;30,3076;1,0995;4,0700;82,3863;639,2229;839,1799;0,7617;1036,3390;0,6168
2;1.000;43.00;1,6300;30,3908;1,1029;4,1300;83,3721;641,2152;849,2211;0,7551;1048,7393;0,6114
3;1.000;43.00;1,6300;30,3036;1,1061;4,1900;84,8267;643,0734;864,0374;0,7443;1067,0366;0,6027
4;1.000;43.00;1,6300;30,3157;1,1075;4,2700;86,4116;643,9080;880,1813;0,7316;1086,9734;0,5924
5;1.000;43.00;1,6300;30,3091;1,1182;4,5500;92,0981;650,1200;938,1031;0,6930;1158,5035;0,5612
6;1.000;43.00;1,6300;30,1985;1,3699;5,9200;120,2674;796,4361;1225,0341;0,6501;1512,8469;0,5264
7;1.000;43.00;1,6300;30,3726;1,3951;6,0000;121,1942;811,1302;1234,4742;0,6571;1524,5048;0,5321
8;1.000;43.00;1,6300;30,4215;1,4124;6,2600;126,2428;821,1751;1285,8983;0,6386;1588,0106;0,5171
9;1.000;43.00;1,6300;30,1932;1,4026;6,2200;126,3843;815,4483;1287,3399;0,6334;1589,7909;0,5129
10;1.000;43.00;1,6300;30,3108;1,4072;6,3100;127,7159;818,1681;1300,9031;0,6289;1606,5407;0,5093
11;1.000;43.00;1,6300;30,2861;1,8713;10,4300;211,2779;1087,9730;2152,0587;0,5055;2657,6690;0,4094
12;1.000;43.00;1,6300;30,3184;1,8874;10,5400;213,2784;1097,2999;2172,4362;0,5051;2682,8341;0,4090
13;1.000;43.00;1,6300;30,5288;1,8816;10,6200;213,4162;1093,9284;2173,8391;0,5032;2684,5666;0,4075
14;1.000;43.00;1,6300;30,3110;1,8727;10,8100;218,7956;1088,7652;2228,6333;0,4885;2752,2343;0,3956
15;1.000;43.00;1,6300;30,3206;1,9164;10,8900;220,3445;1114,1842;2244,4109;0,4964;2771,7187;0,4020
16;1.000;43.00;1,6300;30,2427;1,8885;11,0700;224,5635;1097,9916;2287,3850;0,4800;2824,7893;0,3887
17;1.000;43.00;1,6300;20,4094;2,6212;10,7500;323,1395;1523,9808;3291,4724;0,4630;4064,7796;0,3749
18;1.000;43.00;1,6300;30,6134;2,3015;17,5900;352,5060;1338,0574;3590,5965;0,3727;4434,1807;0,3018
19;1.000;43.00;1,6300;30,4302;2,3584;17,8000;358,8625;1371,1722;3655,3437;0,3751;4514,1398;0,3038
20;1.000;43.00;1,6300;30,5782;2,3045;18,2400;365,9532;1339,8313;3727,5689;0,3594;4603,3338;0,2911
21;1.000;43.00;1,6300;20,5290;2,6058;12,9700;387,6004;1514,9886;3948,0652;0,3837;4875,6340;0,3107
22;1.000;43.00;1,6300;30,4144;2,3409;19,2300;387,8939;1360,9849;3951,0550;0,3445;4879,3263;0,2789
23;1.000;43.00;1,6300;20,3713;2,6232;13,4200;404,1531;1525,0959;4116,6694;0,3705;5083,8506;0,3000
24;1.000;43.00;1,6300;30,4816;2,3997;20,4900;412,3986;1395,1506;4200,6578;0,3321;5187,5714;0,2689
25;1.000;43.00;1,6300;30,7364;2,3626;20,8100;415,3671;1373,6189;4230,8943;0,3247;5224,9117;0,2629
26;1.000;43.00;1,6300;20,4308;2,5791;13,9300;418,2900;1499,4901;4260,6671;0,3519;5261,6795;0,2850
27;1.000;43.00;1,6300;20,6601;2,5704;14,2600;423,4484;1494,4308;4313,2105;0,3465;5326,5675;0,2806
28;1.000;43.00;1,6300;20,5542;2,5596;14,8800;444,1357;1488,1422;4523,9290;0,3289;5586,7928;0,2664
