Taxa de Cisalhamento (s-1);Tensao de Cisalhamento (Pa);Viscosidade (Pa.s)
1,0000;31,0180;31,0180
1,3900;27,6430;19,8871
1,9300;25,6160;13,2725
2,6800;27,0920;10,1090
3,7300;32,7000;8,7668
5,1800;38,4470;7,4222
7,2000;52,6300;7,3097
10,0000;74,9400;7,4940
13,9000;93,4710;6,7245
19,3000;105,0000;5,4404
26,8000;129,9800;4,8500
37,3000;160,8900;4,3134
51,8000;176,8900;3,4149
72,0000;196,7500;2,7326
100,0000;219,6700;2,1967
139,0000;239,1600;1,7206
193,0000;257,6700;1,3351
268,0000;274,5200;1,0243
373,0000;289,9100;0,7772
518,0000;308,1900;0,5950
720,0000;329,8400;0,4581
1390,0000;408,1700;0,2936
1930,0000;431,1400;0,2234
